"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",2072,1574119,13210,47,"13210_47_48_53_57","South-Central Interior Mesophytic Forest","Hardwood",869,534,86,68,8,13,79,"III-A",71,135,148,0.278431373,0.529411765,0.580392157,350076,53.9
"2",2067,852248,13050,47,"13050_47_48","Southern Interior Low Plateau Dry-Mesic Oak Forest","Hardwood",6,199,21,4,77,3,20,"II-A",184,156,33,0.721568627,0.611764706,0.129411765,189535,29.2
"3",2085,184162,14720,47,"14720_44_46_47_48","Central Interior and Appalachian Riparian Systems","Riparian",990,NA,200,167,17,NA,83,"III-B",36,255,20,0.141176471,1,0.078431373,40957,6.3
"4",2084,108414,14710,47,"14710_47_48_53_54_57_59_60_61_63","Central Interior and Appalachian Floodplain Systems","Riparian",613,392,121,80,13,21,66,"III-A",0,191,176,0,0.749019608,0.690196078,24111,3.7
"5",11,96877,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,21545,3.3
"6",2088,50019,14790,47,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,NA,NA,987,100,NA,NA,"V-B",207,61,255,0.811764706,0.239215686,1,11124,1.7
"7",2079,39581,14010,47,"14010_43_44_47_48_53","Central Interior Highlands Calcareous Glade and Barrens","Grassland",19,16,5,3,18,21,61,"I-A",255,235,20,1,0.921568627,0.078431373,8803,1.4
"8",2071,6602,13130,47,"13130_47_50_51","North-Central Interior Beech-Maple Forest","Hardwood",1004,NA,836,456,45,NA,55,"V-A",0,156,44,0,0.611764706,0.17254902,1468,0.2
"9",2078,2400,13630,47,"13630_47_53","Central Interior Highlands Dry Acidic Glade and Barrens","Hardwood",29,16,7,4,15,27,58,"I-A",229,38,0,0.898039216,0.149019608,0,534,0.1
"10",2091,3497,15180,47,"15180_43_47_49_52_62_63_64_65","North-Central Interior Wet Flatwoods","Hardwood",993,NA,NA,993,100,NA,NA,"V-B",211,237,38,0.82745098,0.929411765,0.149019608,778,0.1
"11",2070,808,13100,47,"13100_47","North-Central Interior Dry-Mesic Oak Forest and Woodland","Hardwood",162,160,11,9,6,6,88,"I-B",176,163,222,0.690196078,0.639215686,0.870588235,180,0
"12",2074,29,13260,47,"13260_47","South-Central Interior/Upper Coastal Plain Flatwoods","Hardwood",187,182,5,5,3,3,94,"I-A",156,237,38,0.611764706,0.929411765,0.149019608,6,0
"13",2076,376,13530,47,"13530_47","Southern Appalachian Low-Elevation Pine Forest","Conifer",100,1204,2,2,2,1,97,"I-A",255,200,97,1,0.784313725,0.380392157,84,0
"14",2081,16,14180,47,"14180_47","Pennyroyal Karst Plain Prairie and Barrens","Grassland",2,75,22,1,91,2,7,"II-A",232,227,138,0.909803922,0.890196078,0.541176471,4,0
