"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,96877,"Open Water",0,0,255,0,0,1,21545,3.3
"2",13,31309,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,6963,1.1
"3",14,1140,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,254,0
"4",15,3104,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,690,0.1
"5",16,7121,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,1584,0.2
"6",17,6380,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,1419,0.2
"7",22,7257,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,1614,0.2
"8",23,2166,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,482,0.1
"9",24,483,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,107,0
"10",25,92438,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,20558,3.2
"11",32,885,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,197,0
"12",63,18,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,4,0
"13",64,157944,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,35126,5.4
"14",65,1332,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,296,0
"15",68,100,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,22,0
"16",102,8,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,2,0
"17",103,15,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,3,0
"18",104,16,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,4,0
"19",105,34,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,8,0
"20",106,61,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,14,0
"21",107,132,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,29,0
"22",108,3206,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,713,0.1
"23",109,747,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,166,0
"24",110,1751,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,389,0.1
"25",111,4145,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,922,0.1
"26",112,8809,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,1959,0.3
"27",113,16871,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,3752,0.6
"28",114,28949,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,6438,1
"29",115,46078,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,10248,1.6
"30",116,68911,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,15325,2.4
"31",117,95958,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,21341,3.3
"32",118,190975,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,42472,6.5
"33",119,174008,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,38698,6
"34",120,228612,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,50842,7.8
"35",121,268981,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,59820,9.2
"36",122,291241,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,64770,10
"37",123,276837,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,61567,9.5
"38",124,236327,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,52558,8.1
"39",125,226070,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,50277,7.7
"40",126,24531,"Tree Height = 26 meters",79,158,51,0.309804,0.619608,0.2,5456,0.8
"41",138,399,"Tree Height = 38 meters",36,112,21,0.141176,0.439216,0.082353,89,0
"42",206,4,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,1,0
"43",208,22,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,5,0
"44",210,5,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,1,0
"45",211,236,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,52,0
"46",212,115,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,26,0
"47",213,114,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,25,0
"48",214,86,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,19,0
"49",215,173,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,38,0
"50",216,77,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,17,0
"51",217,72,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,16,0
"52",218,70,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,16,0
"53",219,31,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,7,0
"54",220,25,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,6,0
"55",221,12,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,3,0
"56",222,22,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,5,0
"57",223,9,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,2,0
"58",224,16,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,4,0
"59",225,9,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,2,0
"60",226,6,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,1,0
"61",227,5,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,1,0
"62",228,7,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,2,0
"63",229,4,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,1,0
"64",230,56,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,12,0
"65",301,194,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,43,0
"66",302,2066,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,459,0.1
"67",303,82042,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,18246,2.8
"68",304,43444,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,9662,1.5
"69",305,49432,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,10993,1.7
"70",306,43390,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,9650,1.5
"71",307,19822,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,4408,0.7
"72",308,52686,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,11717,1.8
"73",309,17587,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,3911,0.6
"74",310,5083,"Herb Height >= 1 meter",255,51,0,1,0.2,0,1130,0.2
