"","VALUE","Freq","LABEL","DESCRIPTION","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1,5204,"A","Succession Class A",161,99,51,0.631373,0.388235,0.2,1157,0.2
"2",2,1250051,"B","Succession Class B",56,168,0,0.219608,0.658824,0,278005,42.8
"3",3,760355,"C","Succession Class C",201,222,171,0.788235,0.870588,0.670588,169099,26
"4",4,1120,"D","Succession Class D",255,248,166,1,0.972549,0.65098,249,0
"5",5,9277,"E","Succession Class E",0,74,77,0,0.290196,0.301961,2063,0.3
"6",6,31631,"UN","Uncharacteristic Native Vegetation Cover/Structure/Composition",160,0,0,0.627451,0,0,7035,1.1
"7",7,183166,"UE","Uncharacteristic Exotic Vegetation",255,0,0,1,0,0,40735,6.3
"8",111,96877,"Water","Water",0,0,255,0,0,1,21545,3.3
"9",120,159624,"Developed","Developed",132,0,138,0.517647,0,0.541176,35500,5.5
"10",180,421843,"Agriculture","Agriculture",223,115,255,0.87451,0.45098,1,93816,14.5
